start_station,end_station,directions_time_min,same_line,interchange_station,metro_distance_km,start_lat,start_lng,end_lat,end_lng,start_place_id,end_place_id,start_line,end_line,transfer_count
Silk Institute,Central Silk Board,30.0,False,Rashtreeya Vidyalaya Road,14.744000000000003,12.861672,77.52998099999999,12.9164445,77.62052609999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJl8NMAwAVrjsRvop90Vobkvk,Green Line,Yellow Line,1
Central Silk Board,Silk Institute,30.0,False,Rashtreeya Vidyalaya Road,14.744000000000003,12.9164445,77.62052609999999,12.861672,77.52998099999999,ChIJl8NMAwAVrjsRvop90Vobkvk,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Bommanahalli,32.0,False,Rashtreeya Vidyalaya Road,15.795000000000002,12.861672,77.52998099999999,12.9107316,77.62632789999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJweJ3eZcVrjsRvWO5l55NnB0,Green Line,Yellow Line,1
Bommanahalli,Silk Institute,32.0,False,Rashtreeya Vidyalaya Road,15.795000000000002,12.9107316,77.62632789999999,12.861672,77.52998099999999,ChIJweJ3eZcVrjsRvWO5l55NnB0,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Hongasandra,34.0,False,Rashtreeya Vidyalaya Road,16.965000000000003,12.861672,77.52998099999999,12.9017117,77.6319874,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJS8127RkVrjsRAAwS7NLZMzc,Green Line,Yellow Line,1
Hongasandra,Silk Institute,34.0,False,Rashtreeya Vidyalaya Road,16.965000000000003,12.9017117,77.6319874,12.861672,77.52998099999999,ChIJS8127RkVrjsRAAwS7NLZMzc,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Kudlu Gate,37.0,False,Rashtreeya Vidyalaya Road,18.493000000000002,12.861672,77.52998099999999,12.8900206,77.63918190000001,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJIakSxv8VrjsR_uXLc2Ykep0,Green Line,Yellow Line,1
Kudlu Gate,Silk Institute,37.0,False,Rashtreeya Vidyalaya Road,18.493000000000002,12.8900206,77.63918190000001,12.861672,77.52998099999999,ChIJIakSxv8VrjsR_uXLc2Ykep0,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Singasandra,39.0,False,Rashtreeya Vidyalaya Road,19.681000000000004,12.861672,77.52998099999999,12.8808676,77.6447379,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJ2U-TVpYVrjsRozMWw2GpFiI,Green Line,Yellow Line,1
Singasandra,Silk Institute,39.0,False,Rashtreeya Vidyalaya Road,19.681000000000004,12.8808676,77.6447379,12.861672,77.52998099999999,ChIJ2U-TVpYVrjsRozMWw2GpFiI,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
